locus_tag,mean_exp,gci,gene_name
b0010,5.178247479726491,-0.2247091128479957,satP
b0011,2.62547516025339,-0.326309967472337,yaaW
b0018,2.2390813224930715,-0.23757370520987267,mokC
b0020,5.523776659365505,-0.38843886403062494,nhaR
b0030,5.479245073928991,-0.00867258771813691,rihC
b0036,1.5859068728177546,-0.07950972477882265,caiD
b0037,3.237124408411321,-0.06653450168371215,caiC
b0040,1.4352035194942538,-0.17730174841657698,caiT
b0041,1.655697098732127,-0.19218452846299744,fixA
b0043,1.6931809275174965,-0.1753186243104273,fixC
b0045,1.3215066059211564,-0.29952310594809317,yaaU
b0046,4.645774117432598,-0.22808679270786825,kefF
b0047,4.876016275419185,-0.21290938508538576,kefC
b0060,4.765322969329191,-0.2610033689909242,polB
b0061,2.3449015091668737,-0.18082550192725633,araD
b0062,3.379128867370717,-0.08050939530989155,araA
b0063,2.7319297652265098,-0.11208107251405876,araB
b0065,5.050186026331381,-0.5062492079336105,yabI
b0066,4.943633712660379,-0.06312003421908909,thiQ
b0067,4.510068700772312,-0.11401180174109644,thiP
b0070,5.090606913993975,-0.3594714994152454,setA
b0076,3.1097234084927,-0.17910335130411326,leuO
b0101,5.068094970113402,-0.2461967143181712,yacG
b0106,3.13638941002476,-0.4056283355826383,hofC
b0117,2.1603836329781765,-0.31594434495656404,yacH
b0129,4.812272291376174,-0.27147051745554324,yadI
b0130,4.5574791763857405,-0.13261658889421224,yadE
b0132,3.166150600883117,-0.31718499709193165,rpnC
b0135,2.3383079579293584,-0.3132359075333658,yadC
b0137,2.204843382664005,-0.43211496466499366,yadL
b0139,2.2206223366304827,-0.3905413152826261,htrE
b0142,5.400872458253493,-0.26886535044850574,folK
b0144,4.868519021625724,-0.221294603788224,gluQ
b0147,5.1288643149034945,-0.02065860829152748,thpR
b0153,4.7341400574431685,-0.18823279019716668,fhuB
b0155,5.529111060144642,-0.21149360790683405,clcA
b0157,4.4683184138547904,-0.2921197564154759,yadS
b0158,4.5053899193391445,-0.08530687272065164,btuF
b0162,4.462520853175572,-0.5418934772099135,cdaR
b0186,5.266055671960584,-0.4247781483779305,ldcC
b0187,5.3650206094707205,-0.34130263761021823,yaeR
b0191,5.226989235538991,-0.01186689139145627,arfB
b0193,2.4538273441693335,-0.28622479252585054,yaeF
b0208,5.43943143243895,-0.0375929774287315,yafC
b0210,5.109425303050466,-0.14720213066455187,yafE
b0213,5.561050121121334,-0.2501326646879379,yafS
b0217,2.367279902797875,-0.09806748931900418,yafT
b0219,5.510266197785025,-0.2502220895180951,yafV
b0221,5.484552177466008,-0.568518180285465,fadE
b0225,5.329355337837258,-0.3542692352470207,yafQ
b0227,3.176293873642842,-0.4883198917913022,yafL
b0228,4.628161882866029,-0.5408295639718308,rayT
b0229,1.9362433538769437,-0.45567264100131566,lfhA
b0230,2.174748329458767,-0.29219239805838304,lafU
b0231,4.959828688541759,-0.22933246432292204,dinB
b0232,3.7882130988986473,-0.3755616681748265,yafN
b0233,3.5615239890483235,-0.38446837810840345,yafO
b0234,2.7576583113525728,-0.44228006983211865,yafP
b0241,2.278163423507072,-0.09202263568861772,phoE
b0250,5.523322486192419,-0.3327532620955766,ykfB
b0252,1.1766283522349446,-0.3221558735309311,yafZ
b0253,4.252182358234494,-0.3855686813986591,ykfA
b0254,2.957892194243457,-0.4819880300614507,perR
b0258,4.684100311897362,-0.4089234591359599,ykfC
b0260,4.748797376495009,-0.4090324022379314,mmuP
b0265,4.28788942963056,-0.0826261326965749,insA-2
b0266,4.1135942224487385,-0.15746814349223043,yagB
b0268,3.5102449496226873,-0.09386083068404616,yagE
b0269,3.8638370723919646,-0.10915400542178452,yagF
b0270,2.890656861363497,-0.03798352737029244,yagG
b0275,4.253077078224438,-0.05070861429595191,insA-3
b0276,4.070731909457719,-0.35754038057531584,yagJ
b0277,4.294258183170582,-0.29638627075322066,yagK
b0278,2.6247195793078255,-0.18110235387833817,yagL
b0283,2.948314415072343,-0.4124730402259836,paoD
b0284,3.190977472082245,-0.49069904537565273,paoC
b0285,2.4554860983679667,-0.32552058180108906,paoB
b0286,2.7591580055906,-0.39252496378882445,paoA
b0288,3.636939197905121,-0.11621733425221337,ykgJ
b0289,4.157354149427894,-0.33269288565419247,ecpE
b0290,3.678380952769871,-0.2737744582232447,ecpD
b0291,2.4276229761685917,-0.33526005057635966,ecpC
b0293,4.102440705648128,-0.11432205658703112,ecpA
b0294,1.5571787079855812,-0.3755225901708286,ecpR
b0295,2.9611271991364676,-0.16509815113471407,ykgL
b0300,3.323487630969544,-0.48183117086803606,ykgA
b0304,3.4598872009246717,-0.4921159172589912,rclA
b0305,3.0593891993789355,-0.32667248316522507,rclR
b0306,3.459019924094394,-0.17381735254603112,ykgE
b0307,4.39678643427554,-0.36552785412697353,ykgF
b0308,3.767154571666867,-0.34892969816203284,ykgG
b0314,5.197352125896885,-0.2801649310872062,betT
b0315,4.52057306213191,-0.10367711712184434,pdeL
b0316,4.339301645708848,-0.3593785560392262,yahB
b0318,2.4541032893338133,-0.3991905732734237,yahD
b0320,1.6493066947028892,-0.2743367682809588,yahF
b0321,1.7460735198677992,-0.10050954277498576,yahG
b0328,3.2109015829586607,-0.3423393635040476,yahN
b0330,3.1174586083658866,-0.5478454888006379,prpR
b0331,2.224913539529481,-0.5894741578729688,prpB
b0333,2.236214464537132,-0.5553778177026203,prpC
b0334,2.0517769151709953,-0.5164719588986603,prpD
b0335,2.681285848594181,-0.5322357621247255,prpE
b0338,4.408004860171539,-0.11143825615266854,cynR
b0339,2.089617095660135,-0.2917584821312999,cynT
b0340,3.215404005130645,-0.37137084780041074,cynS
b0341,2.3060434770013165,-0.2052021096360032,cynX
b0342,2.6643252621554137,-0.3983319260738392,lacA
b0343,1.7301287867333293,-0.3282219882126688,lacY
b0347,1.8948013831118975,-0.3878823605011549,mhpA
b0348,1.4886197951025475,-0.3157794040397319,mhpB
b0349,2.3086807670493212,-0.41520281618824806,mhpC
b0350,2.5814174547569797,-0.3356865877314086,mhpD
b0351,2.854750603558975,-0.3249665891786699,mhpF
b0352,2.7431065976012583,-0.37934602828254615,mhpE
b0353,2.65920676608756,-0.48382642635753387,mhpT
b0357,5.267060327337965,-0.01312054276856755,frmR
b0358,3.266090172417315,-0.5115648748115175,yaiO
b0363,2.379374794158428,-0.5499445590593093,yaiP
b0365,2.53958832082312,-0.4073599582433958,tauA
b0366,2.6739314056212335,-0.30658854733366675,tauB
b0367,2.050942001914537,-0.2391218339912652,tauC
b0368,3.4751977997237593,-0.28601763318091167,tauD
b0377,4.87465848007178,-0.2202604093666388,sbmA
b0379,2.1799110393040197,-0.38376442415770384,yaiY
b0380,4.300801616129174,-0.4191861153422378,yaiZ
b0383,4.613581903776126,-0.1505439364831281,phoA
b0384,4.51425230342578,-0.5434613104906956,psiF
b0385,2.5258574718814546,-0.5393123184703357,dgcC
b0389,5.308068371537756,-0.405509135904636,yaiA
b0392,4.476183434660432,-0.4698801285960293,ykiA
b0394,5.562426164971689,-0.23843829034119357,mak
b0396,4.215695871328555,-0.3829265200119218,araJ
b0398,5.36420189577543,-0.02404480948405029,sbcD
b0399,5.348436584029237,-0.4547474917146017,phoB
b0400,4.466822652680879,-0.33538270065743303,phoR
b0403,5.07252520384509,-0.1630780494771698,malZ
b0404,4.692959992746871,-0.5454413924941842,acpH
b0412,4.1148453487356464,-0.3500069760628127,yajI
b0427,4.912191286604566,-0.1445558880175796,yajR
b0443,4.060743150409517,-0.5518530207721595,fadM
b0445,4.0771635825548875,-0.213146985430472,ybaE
b0446,5.053504618266769,-0.19547965005491405,cof
b0447,5.155332814989307,-0.18278505409352003,decR
b0448,4.597665997077075,-0.2763678956412321,mdlA
b0449,4.351395940909947,-0.11428721175330275,mdlB
b0451,4.036685978151142,-0.12082067605455364,amtB
b0456,2.7801224072670534,-0.610479532457679,ybaA
b0457,4.632797506037134,-0.5299888763133972,pdeB
b0464,5.275628838314974,-0.24884605482982788,acrR
b0468,5.454824237322268,-0.3658416012614318,ybaN
b0476,3.6861155399288936,-0.3936420677857168,aes
b0485,3.5168230323666574,-0.34238567676683807,glsA
b0486,4.004098049887568,-0.34188890684018164,ybaT
b0490,5.320044092323488,-0.03052983129592039,fetA
b0491,4.7329104428846325,-0.1988648349945777,fetB
b0495,5.259484203244298,-0.08314742133193553,ybbA
b0496,4.436725319951703,-0.33621243244209714,ybbP
b0497,3.678902810589909,-0.2289609219377912,rhsD
b0498,2.4190921604946567,-0.34003998314322287,ybbC
b0499,1.4303874853422676,-0.37100668450827706,ylbH
b0502_1,4.085537483930349,-0.46514970695741054,NA
b0504,1.9955782159645392,-0.26336810319009524,allS
b0505,3.40629236341136,-0.24172330610372428,allA
b0507,2.9152126158548004,-0.3373434779210977,gcl
b0508,2.1025136164653913,-0.23752188545962669,hyi
b0509,2.5113493048417417,-0.11342248881217568,glxR
b0511,0.940439613588402,-0.3332149911058739,ybbW
b0512,2.8342421720832274,-0.19644294762686065,allB
b0513,2.136564297511001,-0.3824952220197199,ybbY
b0514,2.940274047760723,-0.2636341893889224,glxK
b0515,5.233169306881905,-0.2589428378080953,allE
b0516,3.878997183918321,-0.3080561452778683,allC
b0517,1.382241692268918,-0.36925928017369414,allD
b0518,1.053015221485317,-0.10407387824425084,fdrA
b0520,2.0177617538111967,-0.25392069971902503,ylbF
b0521,2.136222237159914,-0.3438991610246489,ybcF
b0527,2.209403756798774,-0.2263997362015316,ybcI
b0528,5.016881261403733,-0.07808872096856175,ybcJ
b0532,1.9917755851033323,-0.4114384056861652,sfmD
b0533,1.0229316218326907,-0.39476061260830125,sfmH
b0543,4.160751453701882,-0.3689660417144364,emrE
b0544,1.6081209847422109,-0.4955032356748062,ybcK
b0545,3.337526203155014,-0.5492744900076136,ybcL
b0546,4.810725392203261,-0.5384512663252561,ybcM
b0555,3.3736207006949894,-0.252031277852192,rrrD
b0562_2,3.6848843209437376,-0.4553293971532456,NA
b0564,5.451769151821805,-0.1483038902720008,appY
b0566,2.498155615836485,-0.3141456126519364,envY
b0567,3.971082417782178,-0.14652741310225018,ybcH
b0569,3.3250085146401416,-0.30630598530977166,nfrB
b0579,5.0390325433474565,-0.04856656036087791,ybdF
b0580,3.484972314340099,-0.45492785775020206,ybdJ
b0581,5.099928754986389,-0.4449992924458588,ybdK
b0583,3.553222846665747,-0.31025285882763287,entD
b0585,5.331731680581689,-0.19793108512488936,fes
b0587,1.117807917676238,-0.2551860756749366,fepE
b0588,5.334086618837332,-0.12551449291371908,fepC
b0589,4.37894796638373,-0.05665789309816065,fepG
b0590,4.888459759564974,-0.07589843651478134,fepD
b0591,4.960882531022129,-0.1819884599610455,entS
b0597,5.484235085930732,-0.22996936571380927,entH
b0601,3.6683751407995127,-0.19762495577322928,ybdM
b0602,2.179148707065982,-0.4067901135909655,ybdN
b0603,1.9598045349636248,-0.5625548203665003,ybdO
b0608,4.109886684198637,-0.5854921688207777,ybdR
b0612,2.088500978975739,-0.4681858956824639,citT
b0615,1.0954505103158745,-0.11085835249957696,citF
b0619,4.57091330733887,-0.40329650067066425,dpiB
b0620,4.844294614858061,-0.04475312141346035,dpiA
b0622,3.4575659329178303,-0.2263877487223464,pagP
b0624,5.089990655208227,-0.17654436934001702,crcB
b0627,4.5665805376029365,-0.2635582697924031,tatE
b0629,2.4807696130200156,-0.13822556599085176,ybeF
b0638,4.488118858909873,-0.2806700997314854,cobC
b0644,2.386395489437185,-0.3820098336773713,ybeQ
b0646,1.4446471813207888,-0.4603942153668041,djlB
b0649,3.492580775015404,-0.4791555365597131,djlC
b0650,2.8913308159779483,-0.3150157187316305,hscC
b0653,5.386825692430404,-0.3782031655517411,gltK
b0654,5.514474967521218,-0.4495679757356746,gltJ
b0681,2.7488219728280843,-0.0795969451275258,chiP
b0682,3.0843153102020513,-0.09484247467595185,chiQ
b0685,5.22195178676428,-0.04144759367891325,ybfE
b0689,3.013052631119881,-0.35707210836645065,ybfP
b0692,3.8017649319527256,-0.5853770622116445,potE
b0693,1.701966380811469,-0.2971030887258299,speF
b0695,5.409170006176505,-0.2115472768458607,kdpD
b0696,3.736389271566467,-0.39302661805451095,kdpC
b0697,2.7385731101997703,-0.2089367153535444,kdpB
b0698,1.4354347029330892,-0.2379310477311921,kdpA
b0700,3.1959714089335733,-0.19007729672565457,rhsC
b0703,2.100895150655804,-0.2965148718200641,ybfO
b0704,2.8188072209339388,-0.6011734038067071,ybfC
b0705,0.9586857271066036,-0.2705912748965554,ybfL
b0707,4.948404241007455,-0.5379955955510447,ybgA
b0708,4.858459399466926,-0.4978861759109048,phr
b0709,4.531675901525807,-0.09809799727074228,dtpD
b0716,2.016002484447185,-0.4988217441636338,ybgO
b0718,0.9706327204418628,-0.5334235336627866,ybgQ
b0730,5.045972899547326,-0.1597297735932958,mngR
b0731,0.8641620286090979,-0.26433826505712693,mngA
b0732,4.111138948124385,-0.35816339832595157,mngB
b0753,4.507242892003187,-0.4154123480726897,ybgS
b0764,5.32923525269298,-0.29264848796035253,modB
b0765,5.096146854726768,-0.4016334870385468,modC
b0768,1.9496268663921752,-0.4771139264197585,ybhD
b0770,1.1466710255304862,-0.1814501559393636,ybhI
b0771,2.3488333215254333,-0.03890472817274459,ybhJ
b0784,4.501498435630675,-0.3887523664992336,moaD
b0787,2.608193769708987,-0.39414308915407914,ybhM
b0788,3.2678216946792267,-0.5636095459136866,ybhN
b0789,4.5131829684665785,-0.48590508076419736,clsB
b0790,4.814986065239707,-0.4386443930460817,ybhP
b0792,4.164451213455203,-0.2894041549455517,ybhR
b0793,4.354808912276746,-0.06857915649588815,ybhS
b0798,3.456510973234974,-0.24281644248090764,ybiA
b0802,4.6057470031005066,-0.19803593270146944,ybiJ
b0803,4.274677601040178,-0.51893787442871,ybiI
b0804,4.189853603004453,-0.273821510826477,ybiX
b0806,4.053223737105703,-0.5397305544975092,mcbA
b0808,3.577022844650289,-0.5992688844731308,ybiO
b0813,3.914304917431548,-0.14958874990741802,rhtA
b0815,4.380580301404436,-0.24256564791590884,opgE
b0818,4.476687495218386,-0.3819195536380885,ybiR
b0823,2.755214802615321,-0.24106514513625596,ybiW
b0832,4.685499884082079,-0.46115829716770906,gsiD
b0833,4.8568103527386555,-0.245345287994186,pdeI
b0834,4.300464341682908,-0.15424033023416928,dgcI
b0837,4.126528454925895,-0.5056719122659935,yliI
b0842,4.858962735665065,-0.3523498824725606,mdfA
b0846,4.368807228767271,-0.15347966066397978,rcdA
b0849,4.731697823138823,-0.12920944437333218,grxA
b0856,4.3047461456620715,-0.5330932809671499,potH
b0857,4.744068207547444,-0.47639805454519363,potI
b0858,4.472498721662928,-0.26993867677106687,ybjO
b0859,4.633951489555433,-0.34749165769372625,rlmC
b0875,4.348715137724514,-0.5505332470847206,aqpZ
b0879,5.290097504869928,-0.4298021862313086,macB
b0899,2.359274670304756,-0.2667767263179141,ycaM
b0900,4.148427264141007,-0.2111675893171868,ycaN
b0901,2.426430140268661,-0.2029739225329095,ycaK
b0906,4.753708791767002,-0.5953398536875859,ycaP
b0909,3.6963123303179426,-0.03642537129356533,ycaL
b0913,3.1465327340639924,-0.47176014130982735,ycaI
b0916,4.1677162584076735,-0.43078182789500424,ycaQ
b0917,4.623862356746457,-0.00231720117507669,ycaR
b0920,4.472427652785756,-0.4035677402070517,elyC
b0933,3.3627967973159234,-0.4464564388305819,ssuB
b0934,1.4625618911249687,-0.28433972624723297,ssuC
b0935,2.491336572548342,-0.2763366835102119,ssuD
b0936,2.2040517280179595,-0.3307430110515809,ssuA
b0937,1.7488538176727333,-0.328942838499415,ssuE
b0940,2.453581725335999,-0.49266308134506154,elfC
b0941,3.6490687633989713,-0.5119198775410002,elfG
b0942,2.7771828521478077,-0.3988265075888045,ycbU
b0943,2.68987815597726,-0.2608176054012612,ycbV
b0944,3.5551772843167933,-0.465367014516214,ycbF
b0950,4.885444638757207,-0.2162077130409174,pqiA
b0959,4.7243300680837095,-0.3334459961631778,sxy
b0961,5.04026873835323,-0.2185568361643267,yccF
b0964,3.892099716907667,-0.5253416305297096,yccT
b0968,4.392807789079023,-0.30368891625849487,yccX
b0972,1.1832904387686929,-0.1726886032923592,hyaA
b0973,1.631414082998002,-0.268250450179649,hyaB
b0974,1.9410255640826537,-0.4153955674975893,hyaC
b0975,2.9926950883484533,-0.23201465176060035,hyaD
b0976,1.760787799293831,-0.23471979029926188,hyaE
b0977,2.542742869767714,-0.4476691356596949,hyaF
b0978,4.03475344771106,-0.31490262376490863,appC
b0979,3.692749699284688,-0.33515954574234974,appB
b0980,4.679328994604537,-0.3781201670151611,appA
b0981,4.759696384066782,-0.2775875915063699,etk
b0982,3.2034685596573107,-0.19454007046753571,etp
b0984,2.5769892857304892,-0.16854725146136992,gfcD
b0985,2.442618041559895,-0.1222579643607062,gfcC
b0986,2.166768127559954,-0.2169486309187087,gfcB
b0991,0.5382078175578673,-0.02287354850820807,ymcE
b0994,3.408982498629094,-0.17334804674577378,torT
b0995,5.259265497555486,-0.19800670011130653,torR
b0996,1.2167847688426214,-0.20057807996658167,torC
b0997,2.7544925597811605,-0.36813817850669794,torA
b0998,2.885114884482006,-0.18748831952714612,torD
b1001,1.7833117898534785,-0.33185216842403303,yccE
b1006,3.347688965262486,-0.410729527803381,rutG
b1007,1.7215645147099716,-0.13121984610716791,rutF
b1008,1.1602556926185978,-0.13197053115256926,rutE
b1009,1.4478726970147051,-0.11048128516494768,rutD
b1010,1.23414173137967,-0.08122959637985075,rutC
b1011,1.0309307327918664,-0.12934018851500176,rutB
b1012,1.3092886185342207,-0.27787941673025157,rutA
b1013,5.101867346024325,-0.3842468710428188,rutR
b1021,2.278626428316615,-0.3316228747965926,pgaD
b1022,2.0396433335681174,-0.317811108062734,pgaC
b1023,2.205239148270595,-0.22182490492111587,pgaB
b1024,2.913660336246495,-0.2245496277268177,pgaA
b1025,3.621643528903157,-0.178181846832013,dgcT
b1037,4.6962214019286295,-0.4555737007825678,csgG
b1038,3.2362203725861107,-0.4519683220319003,csgF
b1039,3.340405235782021,-0.5189067456765585,csgE
b1040,5.090897539172316,-0.558517228190708,csgD
b1042,4.080217882696865,-0.5966837888351868,csgA
b1044,2.983021804682008,-0.2155478556367819,ymdA
b1045,5.480480022203463,-0.5195138665163057,ymdB
b1046,4.6168236217999965,-0.6355092917041537,clsC
b1047,3.7695560799579697,-0.20763886322551753,opgC
b1050,2.698132684113229,-0.2641115677928705,yceK
b1053,3.339664843022086,-0.00822425340011145,mdtG
b1057,3.565012209378926,-0.3778965075357924,yceJ
b1060,5.010807876685571,-0.17255326330095197,bssS
b1065,3.5170199512355427,-0.22688067173264256,mdtH
b1069,5.344634403528394,-0.2571319902680132,murJ
b1070,5.487915700252525,-0.03185464700656211,flgN
b1071,4.828180676850087,-0.00488469422117003,flgM
b1072,5.120477194754571,-0.00773311840651158,flgA
b1078,5.421013765224439,-0.00468425436483885,flgG
b1079,4.000436402042468,-0.06525542336721667,flgH
b1080,3.924885052174136,-0.0461251534797254,flgI
b1081,3.837332398534645,-0.05796063323334734,flgJ
b1082,4.862003357269879,-0.05178582547401039,flgK
b1096,5.537076031809208,-0.24023206442937609,pabC
b1102,4.770175099886,-0.34956338426482236,fhuE
b1110,3.8545723003825674,-0.10382147477165504,ycfJ
b1112,4.66650117736986,-0.02272434687233398,bhsA
b1113,5.55343639681717,-0.16310691189225873,ldtC
b1115,1.4059656597759598,-0.3446353252255677,ycfT
b1125,5.234068795319173,-0.207009470881458,potB
b1134,5.460505799021406,-0.471357452773364,nudJ
b1137,3.6232382993151897,-0.41874808591396256,ymfD
b1138,3.639719386144855,-0.5328396736687232,ymfE
b1139,4.422521478069941,-0.37719657728874045,lit
b1140,3.7095135759670623,-0.5636702218486686,intE
b1141,2.5045336536529605,-0.47740561478001986,xisE
b1144,2.1698658981980254,-0.5804603166135758,ymfJ
b1147,1.611444286989364,-0.4929738774970789,ymfL
b1155,2.12506342910712,-0.4327162454270732,tfaP
b1159,4.3401655811470015,-0.4846490157627522,mcrA
b1161,3.2079166029110504,-0.15816365926895956,ycgX
b1163,4.603524467776843,-0.585613253989158,bluF
b1164,3.587458614296757,-0.42174625985672354,ycgZ
b1165,2.867925009429766,-0.4983811765856932,ymgA
b1166,2.09105412408002,-0.483694257162092,ariR
b1167,1.9666785483020273,-0.4114968383689752,ymgC
b1168,1.700157878188464,-0.5799684905189314,pdeG
b1171,5.152699551231254,-0.15308010017069654,ymgD
b1172,3.812229918445889,-0.03642031316093219,ymgG
b1177,5.519321535334889,-0.4015339516459453,ycgJ
b1182,2.6803169928743378,-0.3230431642609767,hlyE
b1183,3.6863261149856568,-0.3991020628419714,umuD
b1184,3.5854715521369753,-0.3788364372987842,umuC
b1191,5.355129081055837,-0.40945175897788166,cvrA
b1194,3.8554119943058303,-0.12725705051251943,ycgR
b1195,3.830065812041126,-0.6059963368882819,ymgE
b1196,2.2887484310461477,-0.415416440331395,ycgY
b1197,5.004727344983849,-0.4858612159910999,treA
b1202,3.9454006745201777,-0.30482952863686225,ycgV
