locus_tag,GCI,gene_name
b0002,-0.0364443409782808,thrA
b0003,-0.032872636581347335,thrB
b0004,-0.01591733768076687,thrC
b0005,-0.0318642449329169,yaaX
b0010,-0.42795424728417547,satP
b0011,-0.3564775077152715,yaaW
b0014,-0.07797128373522033,dnaK
b0015,-0.01666348607696495,dnaJ
b0016,-0.17628971877690808,insL-1
b0018,-0.32088750068208427,mokC
b0019,-0.4532724796084211,nhaA
b0020,-0.43558710499302905,nhaR
b0022,-0.1594226994102029,insA-1
b0032,-0.10658598697011733,carA
b0036,-0.005710309797446004,caiD
b0037,-0.10202293356861039,caiC
b0040,-0.3243630188912114,caiT
b0041,-0.34779136952274975,fixA
b0043,-0.3443103924059738,fixC
b0045,-0.4624398280189735,yaaU
b0046,-0.22323900120411805,kefF
b0047,-0.17260004889034344,kefC
b0048,-0.36700715828204034,folA
b0049,-0.2985923016141384,apaH
b0050,-0.5632765544958743,apaG
b0051,-0.302266975179751,rsmA
b0052,-0.04048885267276073,pdxA
b0054,-0.1313213556989471,lptD
b0060,-0.3666773231034064,polB
b0061,-0.1864863341199617,araD
b0062,-0.14337476944717048,araA
b0063,-0.14171146814731728,araB
b0064,-0.16873622260782017,araC
b0065,-0.3357366728280978,yabI
b0066,-0.24141599212172957,thiQ
b0067,-0.2320026203658937,thiP
b0068,-0.29945634965586704,thiB
b0070,-0.21516356814996296,setA
b0071,-0.5244203183939862,leuD
b0072,-0.454366489507008,leuC
b0073,-0.422996103048501,leuB
b0074,-0.5003667092197216,leuA
b0076,-0.13452646193391102,leuO
b0077,-0.28040969449729447,ilvI
b0078,-0.24012159352355558,ilvH
b0080,-0.07183526989128637,cra
b0089,-0.07982741147647363,ftsW
b0092,-0.006761420495297179,ddlB
b0096,-0.3315169870585842,lpxC
b0101,-0.40990212541265164,yacG
b0106,-0.38015535278951756,hofC
b0107,-0.07666167323131341,hofB
b0110,-0.12488012954159086,ampD
b0111,-0.06782482756669417,ampE
b0112,-0.3950650093623848,aroP
b0113,-0.2226341071333239,pdhR
b0117,-0.5033810358923333,yacH
b0118,-0.18803996530765413,acnB
b0122,-0.33873760050440865,yacC
b0124,-0.3480840862819797,gcd
b0126,-0.24091183084783735,can
b0128,-0.24323634952219658,yadH
b0129,-0.22744301341915743,yadI
b0130,-0.15639741186902795,yadE
b0131,-0.02197796806036181,panD
b0132,-0.3635183886116634,rpnC
b0135,-0.3425436377089115,yadC
b0137,-0.4854005420640674,yadL
b0139,-0.5697859519007251,htrE
b0142,-0.22369024600588558,folK
b0144,-0.15056549845401898,gluQ
b0146,-0.5312694407142631,sfsA
b0150,-0.25026813925026575,fhuA
b0151,-0.1500817621248731,fhuC
b0152,-0.24085132993609273,fhuD
b0153,-0.10525509204542469,fhuB
b0156,-0.46174304646012476,erpA
b0157,-0.0902088870886071,yadS
b0160,-0.11175651625185222,dgt
b0162,-0.4463699888289012,cdaR
b0163,-0.3580812669177745,yaeH
b0164,-0.006121897923709951,yaeI
b0174,-0.2086129676426847,ispU
b0175,-0.2383898755418882,cdsA
b0176,-0.32178003949693,rseP
b0186,-0.385070304456732,ldcC
b0187,-0.37632958690070084,yaeR
b0188,-0.07406729125984365,tilS
b0189,-0.18564123032942698,rof
b0191,-0.13017201593298244,arfB
b0192,-0.359414881524764,nlpE
b0193,-0.29834356548240715,yaeF
b0197,-0.3423903109485042,metQ
b0198,-0.47603865887527497,metI
b0199,-0.39430617695523085,metN
b0207,-0.1440906915227749,dkgB
b0208,-0.20227784485342648,yafC
b0209,-0.5063364643514663,yafD
b0210,-0.16973883620607125,yafE
b0211,-0.04074110824708875,mltD
b0212,-0.35004196520457054,gloB
b0213,-0.3727496374797409,yafS
b0215,-0.1699439313333357,dnaQ
b0217,-0.1196342208971035,yafT
b0219,-0.4093485065355275,yafV
b0220,-0.4014616513107948,ivy
b0221,-0.4205072030187289,fadE
b0224,-0.489876132588954,yafK
b0225,-0.4813017235915975,yafQ
b0226,-0.4216817251517633,dinJ
b0227,-0.5990328601695243,yafL
b0228,-0.5508070303295299,rayT
b0229,-0.466736323852068,lfhA
b0230,-0.5331288468109672,lafU
b0231,-0.44479483146836596,dinB
b0232,-0.49832254570131884,yafN
b0233,-0.43758013773184484,yafO
b0234,-0.5407072064263158,yafP
b0238,-0.026762514418029952,gpt
b0240_2,-0.3911726596781799,NA
b0241,-0.0345651588111444,phoE
b0250,-0.4926939082924672,ykfB
b0251,-0.02465310494470198,yafY
b0252,-0.6274087413288879,yafZ
b0253,-0.5075750718113223,ykfA
b0254,-0.548115814501262,perR
b0258,-0.5152675380099303,ykfC
b0260,-0.5588682086619012,mmuP
b0261,-0.4417086684949548,mmuM
b0262,-0.0892398622440907,afuC
b0265,-0.27704355729280894,insA-2
b0266,-0.33736853201981404,yagB
b0267,-0.07278850195084557,yagA
b0269,-0.014282036210234031,yagF
b0270,-0.1263274784046439,yagG
b0271,-0.05384065383880829,yagH
b0273,-0.08214930864978241,argF
b0275,-0.23949266317238832,insA-3
b0276,-0.39853542439470535,yagJ
b0277,-0.342616856801257,yagK
b0278,-0.18774985342400255,yagL
b0280,-0.5018077692520471,yagN
b0281,-0.13796552774221274,intF
b0283,-0.5161141267051595,paoD
b0284,-0.5838570321338442,paoC
b0285,-0.411338688243053,paoB
b0286,-0.5116068684180058,paoA
b0288,-0.2945191829478416,ykgJ
b0289,-0.5086173708646641,ecpE
b0290,-0.3590074247487885,ecpD
b0291,-0.3877808728372452,ecpC
b0292,-0.25505836286708117,ecpB
b0293,-0.24419558913481088,ecpA
b0294,-0.4064548046037177,ecpR
b0295,-0.2098654204180218,ykgL
b0296,-0.07834407183235939,ykgM
b0300,-0.5443948865373858,ykgA
b0304,-0.41946448115798457,rclA
b0305,-0.23573823692536866,rclR
b0307,-0.19302649304451547,ykgF
b0308,-0.14765584988237157,ykgG
b0313,-0.05101741985237234,betI
b0314,-0.2122560885013044,betT
b0316,-0.4201614147235306,yahB
b0318,-0.38825981610132,yahD
b0320,-0.3175357513960338,yahF
b0321,-0.18090969515024743,yahG
b0323,-0.18700957149628145,yahI
b0325,-0.4091049928764716,yahK
b0328,-0.16729569523280943,yahN
b0329,-0.6498513167787346,yahO
b0330,-0.3948925534873229,prpR
b0331,-0.6099558953782516,prpB
b0333,-0.5944032203008279,prpC
b0334,-0.5501293729764961,prpD
b0335,-0.5778575235857797,prpE
b0336,-0.027492887626230835,codB
b0338,-0.1606102372417272,cynR
b0339,-0.6180803879833012,cynT
b0340,-0.5968574800671119,cynS
b0341,-0.2857229531576502,cynX
b0342,-0.30239084352243223,lacA
b0343,-0.18524920688979915,lacY
b0345,-0.3759133605731643,lacI
b0346,-0.36786931764458103,mhpR
b0347,-0.32613495002486015,mhpA
b0348,-0.29748651887188987,mhpB
b0349,-0.3156071594509984,mhpC
b0350,-0.3503682490364496,mhpD
b0351,-0.22147087547677058,mhpF
b0352,-0.3708851516036628,mhpE
b0353,-0.5625274713913436,mhpT
b0354,-0.053323198281578894,yaiL
b0356,-0.027463361717226204,frmA
b0357,-0.09164677860678384,frmR
b0358,-0.6563973373417642,yaiO
b0363,-0.5641078046479395,yaiP
b0365,-0.516394602512773,tauA
b0366,-0.46005001350838665,tauB
b0367,-0.4022642760842764,tauC
b0368,-0.37623821343690156,tauD
b0372,-0.11693644404359538,insF-2
b0373,-0.4042699047697481,insE-2
b0376,-0.25429838742379873,ampH
b0377,-0.261536927879455,sbmA
b0378,-0.45338529228463076,yaiW
b0379,-0.4409539859479096,yaiY
b0380,-0.3373089325077026,yaiZ
b0382,-0.16408229456305531,iraP
b0384,-0.6098290527476751,psiF
b0385,-0.6556798659853391,dgcC
b0388,-0.25229751821473756,aroL
b0389,-0.5375787534012072,yaiA
b0390,-0.515638685881863,aroM
b0392,-0.5486802967367559,ykiA
b0394,-0.11399916942103772,mak
b0396,-0.33303997291785153,araJ
b0399,-0.35686724619587856,phoB
b0400,-0.2625753661364687,phoR
b0403,-0.18943116432454885,malZ
b0404,-0.5410171045779996,acpH
b0407,-0.09300970754237943,yajC
b0409,-0.12451449490340984,secF
b0412,-0.45340165155275874,yajI
b0417,-0.2245167152291226,thiL
b0418,-0.3687339464866981,pgpA
b0419,-0.47512824384771896,yajO
b0420,-0.04060197016689225,dxs
b0421,-0.13301571732068065,ispA
b0422,-0.10531604855788126,xseB
b0432,-0.005979150309715981,cyoA
b0435,-0.5387922761089056,bolA
b0440,-0.3241956059300091,hupB
b0443,-0.6357335091501024,fadM
b0445,-0.1018307246456318,ybaE
b0446,-0.21129827265082454,cof
b0447,-0.25701035403860967,decR
b0448,-0.2448667774978143,mdlA
b0449,-0.144257129638872,mdlB
b0451,-0.06192983195461012,amtB
b0453,-0.44100273124252876,ybaY
b0454,-0.4148957909643714,atl
b0456,-0.639174988111637,ybaA
b0457,-0.5800621826101071,pdeB
b0458,-0.13469476892157517,ylaC
b0460,-0.4019657761187846,hha
b0461,-0.38732552948094295,tomB
b0464,-0.26491985293660647,acrR
b0467,-0.004338620363232264,priC
b0468,-0.40348539763105096,ybaN
b0475,-0.11547179064906174,hemH
b0476,-0.33621119253428555,aes
b0478,-0.1490937504037913,ybaL
b0480,-0.043011876860742135,ushA
b0483,-0.4021431131586783,ybaQ
b0485,-0.29266669602026263,glsA
b0486,-0.24861069494749363,ybaT
b0487,-0.253509756477007,cueR
b0489,-0.10374066792383002,qmcA
b0490,-0.023109377179713265,fetA
b0491,-0.1348823258502287,fetB
b0495,-0.22065777590650326,ybbA
b0496,-0.29097814178646925,ybbP
b0497,-0.23434287096468512,rhsD
b0498,-0.4182628342078793,ybbC
b0499,-0.3679787817643081,ylbH
b0502_1,-0.5243731974011604,NA
b0504,-0.3966399424875808,allS
b0505,-0.17219445890559976,allA
b0506,-0.2542907312181764,allR
b0507,-0.2797375157341607,gcl
b0508,-0.057710706658504134,hyi
b0511,-0.29086103740700786,ybbW
b0512,-0.12854823089462272,allB
b0513,-0.41859648445959485,ybbY
b0514,-0.23366303130116164,glxK
b0515,-0.198314830406031,allE
b0516,-0.3677679882513282,allC
b0517,-0.43979793187144994,allD
b0518,-0.2253956141222034,fdrA
b0520,-0.3863843713146483,ylbF
b0521,-0.34662130247556183,ybcF
b0522,-0.3006911954957463,purK
b0523,-0.33681670323189555,purE
b0525,-0.23045311580754688,ppiB
b0527,-0.31673663151998677,ybcI
b0528,-0.2710723942199696,ybcJ
b0532,-0.49474107801800543,sfmD
b0533,-0.5488615275848028,sfmH
b0537,-0.5369925686349967,intD
b0543,-0.3734719841674828,emrE
b0544,-0.42410906252120406,ybcK
b0545,-0.5983646307022882,ybcL
b0546,-0.5772624320857203,ybcM
b0555,-0.26685940929160784,rrrD
b0562_2,-0.5391358381108957,NA
b0564,-0.1330544848287344,appY
b0565,-0.04463117351378917,ompT
b0566,-0.45733332319323766,envY
b0567,-0.085276214636533,ybcH
b0569,-0.3082726150628063,nfrB
b0570,-0.49788405671154523,cusS
b0571,-0.3849554505734366,cusR
b0572,-0.318856269631771,cusC
b0573,-0.20226124533573944,cusF
b0574,-0.15336550423740344,cusB
b0575,-0.2015846922419593,cusA
b0576,-0.06644423018327408,pheP
b0579,-0.19343749904095545,ybdF
b0580,-0.5081839337310113,ybdJ
b0581,-0.5095444083434598,ybdK
b0582,-0.17881865001604855,insL-2
b0583,-0.2981914484819745,entD
b0584,-0.2299779189414779,fepA
b0585,-0.32179915715119917,fes
b0586,-0.15688524461480266,entF
b0587,-0.29201256700654044,fepE
b0588,-0.1603000178224202,fepC
b0589,-0.10371902501887031,fepG
b0590,-0.20684358180866458,fepD
b0591,-0.24290791030645542,entS
b0592,-0.2793911551988942,fepB
b0593,-0.25425881631539027,entC
b0594,-0.09189735058377228,entE
b0595,-0.053201280336177305,entB
b0596,-0.07810525108920446,entA
b0597,-0.14022592891561694,entH
b0598,-0.28778450931819843,cstA
b0599,-0.5115839453625488,hcxA
b0600,-0.5433842162575058,ybdL
b0601,-0.38814427253386735,ybdM
b0602,-0.5192383571842063,ybdN
b0603,-0.6229135180667216,ybdO
b0604,-0.31982965824295007,dsbG
b0605,-0.2186057226684886,ahpC
b0608,-0.6126077723075438,ybdR
b0612,-0.6657770368243099,citT
b0615,-0.28477377558685324,citF
b0619,-0.38640914198199827,dpiB
b0622,-0.2116409162989127,pagP
b0623,-0.657135035967056,cspE
b0624,-0.22473782411624316,crcB
b0627,-0.3024625038092571,tatE
b0629,-0.2666521385189133,ybeF
b0631,-0.4698122766392853,ybeD
b0634,-0.19228502583749552,mrdB
b0635,-0.0056450583461122115,mrdA
b0637,-0.0627047469915175,rsfS
b0638,-0.28684454328372605,cobC
b0639,-0.4318737899131705,nadD
b0640,-0.29387832780658213,holA
b0643,-0.38938233169333086,ybeL
b0644,-0.36340161354015765,ybeQ
b0646,-0.4998630937864664,djlB
b0649,-0.41074935534949863,djlC
b0650,-0.19129317196373005,hscC
b0652,-0.3439917832495427,gltL
b0653,-0.37261330003017434,gltK
b0654,-0.3872039202679261,gltJ
b0655,-0.4963780997624886,gltI
b0657,-0.10179738156100343,lnt
b0658,-0.4006408452264453,ybeX
b0659,-0.5324345246214472,ybeY
b0660,-0.2524715949237769,ybeZ
b0661,-0.013787308349957889,miaB
b0682,-0.06707489236090396,chiQ
b0683,-0.4771700739686665,fur
b0685,-0.004139678913657121,ybfE
b0689,-0.36624582244346177,ybfP
b0692,-0.6832090592071819,potE
b0693,-0.5082279252898254,speF
b0695,-0.2352510507314512,kdpD
b0696,-0.4108260310191353,kdpC
b0697,-0.3319441749613377,kdpB
b0698,-0.4114512738514447,kdpA
b0699,-0.08014984113028585,ybfA
b0700,-0.2847521079999351,rhsC
b0703,-0.47600692824988383,ybfO
b0704,-0.6075971370895092,ybfC
b0705,-0.42846357788722367,ybfL
b0707,-0.5817210240470236,ybgA
b0708,-0.47739055448608264,phr
b0709,-0.26141026142216184,dtpD
b0716,-0.6386384981332686,ybgO
b0718,-0.7162571976581046,ybgQ
b0720,-0.1637251988905624,gltA
b0721,-0.1479960657225361,sdhC
b0722,-0.11762362098066531,sdhD
b0723,-0.009071829470003071,sdhA
b0724,-0.02536643522519244,sdhB
b0729,-0.007429578337349718,sucD
b0730,-0.03252936281801877,mngR
b0731,-0.3375834365437021,mngA
b0732,-0.4696160212134018,mngB
b0735,-0.15273310458528352,ybgE
b0736,-0.5455128044287259,ybgC
b0737,-0.19234005184866765,tolQ
b0738,-0.455826898894208,tolR
b0739,-0.20883725636069742,tolA
b0740,-0.33913443567393403,tolB
b0742,-0.1765102081702779,cpoB
b0750,-0.27867441777493634,nadA
b0751,-0.387363994653212,pnuC
b0752,-0.07265128823939432,zitB
b0753,-0.43132373957247244,ybgS
b0754,-0.054802159267048484,aroG
b0756,-0.06949191361300121,galM
b0757,-0.14893510120726686,galK
b0760,-0.31844644945208517,modF
b0762,-0.5352526608087106,acrZ
b0763,-0.04508660209117618,modA
b0764,-0.3158245227209855,modB
b0765,-0.42457553192985314,modC
b0767,-0.1298613855102262,pgl
b0768,-0.5412271935582982,ybhD
b0770,-0.24775666785788725,ybhI
b0771,-0.023759103088704672,ybhJ
b0773,-0.501154103846652,ybhB
b0774,-0.5748223201789536,bioA
b0775,-0.5302707032198918,bioB
b0776,-0.5221044500197457,bioF
b0777,-0.40645335100307595,bioC
b0778,-0.4226388895566263,bioD
b0779,-0.2105567172394592,uvrB
b0780,-0.1760012694289273,ybhK
b0782,-0.18279926074761174,moaB
b0784,-0.4045952314855299,moaD
b0786,-0.3729268925701362,ybhL
b0787,-0.4499982041961089,ybhM
b0788,-0.5962518462394453,ybhN
b0789,-0.5147934857785497,clsB
b0790,-0.49392213852638894,ybhP
b0791,-0.2174633901293176,ybhQ
b0792,-0.32614339417439137,ybhR
b0793,-0.027269208142801073,ybhS
b0798,-0.13234359192390283,ybiA
b0801,-0.14599765762514333,hcxB
b0802,-0.4221319751341036,ybiJ
b0803,-0.7196190185304088,ybiI
b0804,-0.2955377251004499,ybiX
b0805,-0.11826872465772909,fiu
b0806,-0.6347318354382864,mcbA
b0808,-0.616718870870045,ybiO
b0809,-0.032150770056550704,glnQ
b0810,-0.06914283318631903,glnP
b0811,-0.12866974429935338,glnH
b0812,-0.36771072455059395,dps
b0813,-0.025443646187060014,rhtA
b0815,-0.31518060432814077,opgE
b0817,-0.3550379710350786,mntR
b0818,-0.24652222036348767,ybiR
b0819,-0.01348797357351625,ldtB
b0823,-0.30708650002359744,ybiW
b0828,-0.2094953551156579,iaaA
b0829,-0.24536818656370432,gsiA
b0830,-0.49684184787068303,gsiB
b0831,-0.5801259723393729,gsiC
b0832,-0.5007356634092341,gsiD
b0833,-0.21745685793480962,pdeI
b0834,-0.14525238304055813,dgcI
b0835,-0.040599231636070376,rimO
b0836,-0.3041873928881809,bssR
b0837,-0.5195371532568787,yliI
b0838,-0.4200928482967493,gstB
b0839,-0.32657137522045626,dacC
b0841,-0.03990655839639009,ybjG
b0842,-0.3351244751122049,mdfA
b0846,-0.10498005033659086,rcdA
b0847,-0.21018565689654062,ybjL
b0848,-0.01770378598572685,ybjM
b0849,-0.30144285294318846,grxA
b0853,-0.00872184022004118,ybjN
b0854,-0.5484532400286298,potF
b0855,-0.536577921135873,potG
b0856,-0.6108298218013807,potH
b0857,-0.5489356197368715,potI
b0858,-0.11014858981863522,ybjO
b0859,-0.16668474607797887,rlmC
b0860,-0.13647400680461727,artJ
b0861,-0.26690051054880237,artM
b0862,-0.09392977260698723,artQ
b0863,-0.1570292716573125,artI
b0864,-0.08561018816853955,artP
b0865,-0.2973819211551471,ybjP
b0866,-0.5506530128036958,ybjQ
b0867,-0.3311665137774312,amiD
b0868,-0.2284571133200344,ybjS
b0869,-0.4440451140260941,ybjT
b0870,-0.08604056674846171,ltaE
b0871,-0.5187498554098439,poxB
b0874,-0.19809192428078745,lysO
b0875,-0.7006005233980351,aqpZ
b0878,-0.3138904556365279,macA
b0879,-0.40305580339105235,macB
b0880,-0.6026275498605644,cspD
b0881,-0.4291685668546478,clpS
b0882,-0.19615674434620087,clpA
b0884,-0.2926313714896365,infA
b0885,-0.3306482178482246,aat
b0889,-0.27110378206199304,lrp
b0890,-0.22113712586732695,ftsK
b0891,-0.0262833568931318,lolA
b0892,-0.2197607760483468,rarA
b0897,-0.5243134144882328,ycaC
b0898,-0.39512736049266034,ycaD
b0899,-0.12144234764970523,ycaM
b0900,-0.221509149411246,ycaN
b0901,-0.04394415479582673,ycaK
b0904,-0.03817069118940915,focA
b0906,-0.6453348038816178,ycaP
b0907,-0.25299438670557983,serC
b0908,-0.05623499568164704,aroA
b0909,-0.05898789512921184,ycaL
b0910,-0.15687637726052633,cmk
b0912,-0.33869522685726366,ihfB
b0913,-0.5848989625874403,ycaI
b0914,-0.14325685461699905,msbA
b0915,-0.01119804643259336,lpxK
b0916,-0.4045064356954278,ycaQ
b0917,-0.11675418205433179,ycaR
b0920,-0.23231230634795924,elyC
b0923,-0.027188675790589166,mukE
b0925,-0.014521886462500641,ldtD
b0926,-0.44266661573909205,ycbK
b0927,-0.3111932001680629,gloC
b0929,-0.09698580412383342,ompF
b0931,-0.2529060974946069,pncB
b0932,-0.05590989352195214,pepN
b0933,-0.5092638448558562,ssuB
b0934,-0.4444298325154094,ssuC
b0935,-0.38955479757121914,ssuD
b0936,-0.4433266784423281,ssuA
b0937,-0.3875972948400226,ssuE
b0940,-0.5698829398658056,elfC
b0941,-0.5179046233268659,elfG
b0942,-0.3203315218782968,ycbU
b0943,-0.16210476767712886,ycbV
b0944,-0.5443824022976762,ycbF
b0945,-0.051632771224994156,pyrD
b0946,-0.2861204878798597,zapC
b0947,-0.24158372439341083,ycbX
b0950,-0.2189283079972968,pqiA
b0951,-0.058069511588491614,pqiB
b0952,-0.30113779628310366,pqiC
b0953,-0.6771632962368731,rmf
b0954,-0.2965780714531808,fabA
b0955,-0.161478540866316,ycbZ
b0958,-0.48400483576230996,sulA
b0959,-0.3034262167033907,sxy
b0960,-0.04370461368118932,yccS
b0961,-0.29685638642872236,yccF
b0964,-0.6514361219332493,yccT
b0965,-0.4433704594434383,yccU
b0966,-0.5837002144772304,hspQ
b0968,-0.34381925991501544,yccX
b0969,-0.002434813194726456,tusE
b0970,-0.2695791619411177,yccA
b0972,-0.15149445666300787,hyaA
b0973,-0.22538654588817691,hyaB
b0974,-0.4636552753837027,hyaC
b0975,-0.2633806528353073,hyaD
b0976,-0.32402876962839944,hyaE
b0977,-0.4871326702859269,hyaF
b0978,-0.21791028510254365,appC
b0979,-0.2997695046078412,appB
b0980,-0.3681520526290021,appA
b0981,-0.33243842039676874,etk
b0982,-0.2646992813696833,etp
b0984,-0.19508542006636173,gfcD
b0985,-0.061268459350851984,gfcC
b0986,-0.1627071249736293,gfcB
b0994,-0.19917557225503563,torT
b0995,-0.16579143493475634,torR
b0996,-0.26225629279072704,torC
b0997,-0.4588387805491909,torA
b0998,-0.24530340581999127,torD
b0999,-0.4468540639317012,cbpM
b1000,-0.22502078086681507,cbpA
b1001,-0.38324761796651513,yccE
b1002,-0.35710340531300655,agp
b1003,-0.45661502997879433,yccJ
b1004,-0.3289005734512899,wrbA
b1006,-0.41850327532357995,rutG
b1007,-0.49169573497674873,rutF
b1008,-0.3711210310807853,rutE
b1009,-0.40905644368844307,rutD
b1010,-0.14309406659834847,rutC
b1011,-0.019520317466270365,rutB
b1012,-0.2954272836382155,rutA
b1013,-0.37874466324489475,rutR
b1018,-0.026255355845547522,efeO
b1019,-0.04723121159044874,efeB
b1020,-0.362313711640921,phoH
b1021,-0.3674084858770352,pgaD
b1022,-0.2893815508379191,pgaC
b1023,-0.26040554825892226,pgaB
b1024,-0.16910381744811742,pgaA
b1025,-0.06249680562922543,dgcT
b1026,-0.21161862942460358,insF-4
b1027,-0.38274976363577273,insE-4
b1036,-0.04542638533719268,ycdZ
b1037,-0.5172464609018944,csgG
b1038,-0.4958452078457688,csgF
b1039,-0.5152133412217232,csgE
b1040,-0.5820782758219024,csgD
b1042,-0.7072325880407524,csgA
b1044,-0.44172808233554595,ymdA
b1045,-0.6433609061229743,ymdB
b1046,-0.6592286193301874,clsC
b1047,-0.2585447289308784,opgC
b1048,-0.06002570376006741,opgG
b1049,-0.17250372911884673,opgH
b1050,-0.41141194778023654,yceK
b1051,-0.4260409087655166,msyB
b1055,-0.1927530437369036,yceA
b1056,-0.20193116217513848,yceI
b1057,-0.2797185041876284,yceJ
b1059,-0.060529379155125955,solA
b1060,-0.35855144453224347,bssS
b1061,-0.06493981412654903,dinI
b1062,-0.1434266175509095,pyrC
b1063,-0.13491467875602609,yceB
b1064,-0.4833270352599623,grxB
b1065,-0.23399040093415144,mdtH
b1066,-0.04970759681541659,rimJ
b1067,-0.03844132537284867,yceH
b1069,-0.13756592783363403,murJ
b1070,-0.2450552269088788,flgN
b1071,-0.28659495915575006,flgM
b1072,-0.17550630577322188,flgA
b1073,-0.09339461020791438,flgB
b1074,-0.11469274122061827,flgC
b1075,-0.08825094907870104,flgD
b1076,-0.1316047108893795,flgE
b1077,-0.13341761494779697,flgF
b1078,-0.1555471224102758,flgG
b1079,-0.25786029443604525,flgH
b1080,-0.20135591354869528,flgI
b1081,-0.19886721067156288,flgJ
b1082,-0.2608274504967083,flgK
b1083,-0.2612214780342946,flgL
b1086,-0.22649717625992374,rluC
b1087,-0.4293308113593527,yceF
b1089,-0.11193726841189068,rpmF
b1090,-0.406011588048122,plsX
b1091,-0.04793576064666717,fabH
b1094,-0.2071020745446792,acpP
b1096,-0.20099467977705013,pabC
b1098,-0.0019304790620362031,tmk
b1099,-0.0017567324730698708,holB
b1100,-0.5664793383768413,ycfH
b1102,-0.40855079883318723,fhuE
b1103,-0.2435459611798349,hinT
b1104,-0.440794588193554,ycfL
b1106,-0.30587257856582944,thiK
b1107,-0.2585848132808639,nagZ
b1108,-0.13177339615057992,ycfP
b1110,-0.19963638137541811,ycfJ
b1111,-0.4502886049322573,comR
b1112,-0.2335025417597513,bhsA
b1113,-0.1355157957156813,ldtC
b1115,-0.5175778448327187,ycfT
b1116,-0.1974655512023444,lolC
b1117,-0.03206781261428591,lolD
b1118,-0.4813581560985732,lolE
b1119,-0.39001225424509595,nagK
b1120,-0.0650741174942033,cobB
b1123,-0.11187286679785013,potD
b1124,-0.3557430464128252,potC
